[01-Apr-2020 13:59:53 America/Sao_Paulo] PHP Deprecated:  __autoload() is deprecated, use spl_autoload_register() instead in /home/uniprev/public_html/system/helpers/dompdf/include/autoload.inc.php on line 83
[01-Apr-2020 13:59:53 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/dompdf.cls.php on line 743
[01-Apr-2020 13:59:53 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/dompdf.cls.php on line 763
[01-Apr-2020 13:59:53 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/stylesheet.cls.php on line 1102
[01-Apr-2020 13:59:54 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/text_renderer.cls.php on line 126
[01-Apr-2020 19:24:46 UTC] PHP Fatal error:  Cannot use [] for reading in /home/uniprev/public_html/application/controllers/admin/Dashboard.php on line 14
[03-Apr-2020 15:20:36 America/Sao_Paulo] PHP Deprecated:  __autoload() is deprecated, use spl_autoload_register() instead in /home/uniprev/public_html/system/helpers/dompdf/include/autoload.inc.php on line 83
[03-Apr-2020 15:20:36 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/dompdf.cls.php on line 743
[03-Apr-2020 15:20:36 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/dompdf.cls.php on line 763
[03-Apr-2020 15:20:36 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/stylesheet.cls.php on line 1102
[03-Apr-2020 15:20:37 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/text_renderer.cls.php on line 126
[13-May-2020 09:48:12 America/Sao_Paulo] PHP Deprecated:  __autoload() is deprecated, use spl_autoload_register() instead in /home/uniprev/public_html/system/helpers/dompdf/include/autoload.inc.php on line 83
[13-May-2020 09:48:12 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/dompdf.cls.php on line 743
[13-May-2020 09:48:12 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/dompdf.cls.php on line 763
[13-May-2020 09:48:12 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/stylesheet.cls.php on line 1102
[13-May-2020 09:48:13 America/Sao_Paulo] PHP Warning:  "continue" targeting switch is equivalent to "break". Did you mean to use "continue 2"? in /home/uniprev/public_html/system/helpers/dompdf/include/text_renderer.cls.php on line 126
